id	filename	md5	size	state
a189d71e-b163-479b-bc76-713ac695507f	TCGA-64-5815-01Z-00-DX1.1E3600B5-7E83-47BE-AC70-E0C2D623740B.svs	7b92df6fb86e41b27261ce5ed163eb7a	504937161	released
d86dfeff-4bac-4a06-8966-96b4139f3860	TCGA-A6-A56B-01Z-00-DX1.52FE9FA5-05F1-49EA-98BE-887CF7B3A52F.svs	0ff9f9e4f3ae88cf86524f56c64790e0	686462025	released
ec5d6650-f269-4a67-af6d-488ead6d4eb1	TCGA-VS-A957-01Z-00-DX1.FE01C75F-EAF4-4421-A250-E083BC1AFB14.svs	c1f21e9d2ab64d4ee54f6e417dc07b06	639852503	released
c2980038-39a1-4c44-ba31-9137a869836b	TCGA-YL-A8SL-01Z-00-DX3.D85D40A5-172E-4A33-97BE-54EF0FC01A75.svs	59d6be01ffea1f0ef54b0e2c1d043346	1893005730	released
bce9c410-47d0-4bed-b6af-e610669896b2	TCGA-YL-A9WL-01Z-00-DX1.4EE10C9A-18EA-4DB0-BE29-06F6A75FE5A0.svs	5a71a618809e0f5659a69fe9a5de192a	2188970622	released
47bc36b3-5dfe-45c9-bb0d-23c0354f6b2f	TCGA-IB-7652-01Z-00-DX1.A425C4BD-DD4A-4688-B10D-ED7155989799.svs	bc924300c7172faacf74dc8c1038dd11	1438287715	released
ab944c8c-3de4-4e38-9a44-398a4467a26c	TCGA-LB-A8F3-01Z-00-DX1.8545643D-15B9-4A2F-823F-A1EFAAB82E76.svs	d0dcc65817221bd889d730467762b465	1424695631	released
3b8d9212-b71c-4286-8500-58d380de3dc5	TCGA-XD-AAUI-01Z-00-DX2.2B58D278-0405-4829-A01D-A058C7DF5887.svs	5505e887ab95441e7ef65f23c6d9b36e	1156239363	released
72c99e78-282c-4807-b435-0953f9abdf27	TCGA-3A-A9IX-01Z-00-DX1.08369AC8-78D3-4E4C-8D8D-7CA4B1993734.svs	11b963de86743c0c662a8596d1692cda	488097362	released
866a8168-1aa4-44f6-89af-69364c0eba17	TCGA-XD-AAUI-01Z-00-DX1.1A0D124A-47C7-44F1-9229-667EAA10805F.svs	5ba986f014a0ed1a4c8aeac9d1affdfd	1188536149	released
6505da24-5fe4-4c38-8287-864d8e5c3c92	TCGA-OY-A56P-01Z-00-DX1.59CA76B0-5613-48CB-ACE7-6F808B8A9423.svs	bd07938d5a23b07bd66ab379ac5ca924	1003142300	released
2ef07cba-fcee-4302-a852-23db36e2afea	TCGA-NF-A4WX-01Z-00-DX1.C7DF8EF9-75C5-4D45-86B5-E2A679062B76.svs	91ab4730b6867b8f3f9e87a5eef58293	501995222	released
98f1efb2-5616-43ed-b169-56036df62c0d	TCGA-NG-A4VU-01Z-00-DX1.1EA57488-7E0C-4FE2-84D3-28A46DF84F94.svs	675122240771b414cc1e215587b8a0a6	2164098165	released
08cafd20-c849-4689-bf4e-8ecdfe3e418c	TCGA-HZ-A77P-01Z-00-DX1.05234606-54DB-4F25-A67F-A0CEC47FB986.svs	4a72f12faffdd3d9485616bd6c14244d	365486356	released
694c8c5c-fb6f-4d1f-ade8-5c9d5b646bed	TCGA-IB-7644-01Z-00-DX1.A2E77093-90D2-4ED3-90EB-F14A03C3DA57.svs	39762923b3b5f3d66a1f3e9d7f6f72ac	2005042827	released
422b117e-4ca3-4cde-a58c-2ee32b5bf128	TCGA-YY-A8LH-01Z-00-DX1.67ED3009-31EA-4061-80BC-17946D57872C.svs	f185bd2d438c0b28a85dbae7ef8aaeef	1295588649	released
94b9a3ec-9bc6-4c7f-b0d8-df6fba4c578b	TCGA-FB-AAPP-01Z-00-DX1.CF68D027-E6FA-44E0-87AB-F9447977AA22.svs	3a67f4db037999d2dea04135388ffbe1	179369515	released
a7754ef7-d8e2-45a8-b204-2f86df9db4f3	TCGA-BA-A6D8-01Z-00-DX1.0198253B-84AC-484E-9A58-F7CF8AEBE922.svs	4f739064948a28ffde2670fc5d5f029d	1563693092	released
439a42c5-1d03-4013-8db2-2694f72d26e1	TCGA-AG-3600-01Z-00-DX1.1d506eeb-bb65-4688-bdb2-6ac101fc1dbe.svs	baf2b939f349ffd2f8ddf66edad94edc	448978072	released
f51f1618-a90f-461e-9f55-b0a1f91c9350	TCGA-AG-3593-01Z-00-DX1.d3086414-77f4-483f-bac8-d7cb29a0689e.svs	dd7d4abc61938b6af0af7a31812f8583	720828756	released
93c4b6de-d3d9-49f0-8a3d-cddc4161890c	TCGA-3H-AB3U-01Z-00-DX2.E66C5B39-8F58-44E0-BC1B-5688CF0B03A0.svs	8e965b77dc701ebd0883e5fd37f150fd	1337211016	released
25f03103-4ab7-4a91-9935-9885815f23de	TCGA-GC-A3YS-01Z-00-DX1.97B4664A-9D8B-460D-B4A4-89855D3DB0C2.svs	2df93fe27eeccba1176b2302213f8797	907041760	released
944a44c3-567a-43a5-b8e2-257b5bd92cba	TCGA-CU-A3YL-01Z-00-DX1.813C9F59-869C-4B8E-B295-22F67AD83F37.svs	067f67d13bdb2e61bf0e51453df791a6	1681081131	released
50907990-ab4d-4b85-aae5-75912df67108	TCGA-ND-A4WC-01Z-00-DX3.C9E15FCA-65BA-4F46-B9FF-320C021FE76C.svs	c7dfdc9624cb77d98a40da3dbeade9ce	1679098909	released
84696337-55f6-4a3c-bcc7-c151f6fd4aa2	TCGA-RN-AAAQ-01Z-00-DX1.493F5285-F6E5-435F-902F-E384E4440C53.svs	b3affb36043d86bea59ef1e0b2b35e0e	1215105695	released
e1609319-2333-465c-b46e-e63490df2890	TCGA-AG-3584-01Z-00-DX1.0ebb5f29-445f-48e1-99f2-ac261080e53d.svs	70ff4a76681e86ea5165941d935ce8c2	426626648	released
4c386e32-e75e-4d28-9798-2fe93b9af935	TCGA-AG-4005-01Z-00-DX1.5df38ba5-00db-41b7-ae57-a62e28d94120.svs	b4ef63e96713c17f4e242212d76e2501	252858044	released
08185094-6bbb-4c99-a505-818f85b55dab	TCGA-2G-AAHC-01Z-00-DX1.0E129B6B-D761-4665-931E-5DF2317498E3.svs	e12e3a82c8debdca081045a1578ba0c5	2441564910	released
bd252b25-d69c-48bb-af1a-d13a1c4bd371	TCGA-2G-AAGS-01Z-00-DX2.EDCCB3FC-C522-4FCF-AF5C-A99FAFA96011.svs	ff737aa74c85f241ad49af6722324410	1919238300	released
b8e348e6-a07a-4747-8f72-7e6834f89ba8	TCGA-2G-AAFM-01Z-00-DX2.DC7B50CA-5D8D-4576-A591-6914E68BC6AA.svs	66bb659c0e3da94cb9a098600436b836	1489021830	released
6b9dbe79-502b-4cf8-8178-52380d7295e1	TCGA-2G-AAGV-01Z-00-DX1.A4B73F21-88A2-4195-A275-82E802C01D30.svs	3ea75c1a58d8e2060532661e97848572	1251805430	released
a4e26a5a-f9d6-4ba0-85eb-fe1fe9b62871	TCGA-UB-A7MA-01Z-00-DX1.13804B83-8203-4A32-B8DE-5D1823EEC027.svs	92f60da449e7ff7af2c3949c37b0e49a	2975463727	released
8d99f088-8d0d-4825-b792-e1ebc012aac3	TCGA-XF-AAN5-01Z-00-DX1.DACB5253-366B-40A2-AD52-376F26C103A6.svs	86f887afdbb25207ccae36217101224c	1402087329	released
6d6e3f15-2d18-46aa-8d1f-1c3182371193	TCGA-N8-A4PO-01Z-00-DX1.D73029FC-ADE9-4FA3-BE96-514C8A77DD33.svs	b14178e1307fbc73dd3587e2b3498d9a	1567650278	released
047189be-e06e-4f65-84e9-2e28ea9f8331	TCGA-IQ-A61E-01Z-00-DX1.92B490BD-78B3-4A36-A09D-01EDD57447F6.svs	85a9586a3afc4d4dd86ced6d18e69f5a	1301392731	released
786b3365-6983-4aa0-bc0b-060679d5bce2	TCGA-FN-7833-01Z-00-DX1.0618fcef-d4fc-427f-bcb6-f46f903f6e4b.svs	f5f2f2d81d4d3408b2dea3ce5d1943ef	625512699	released
7cd780b7-b00a-4a1f-a3e9-67647209b4e8	TCGA-55-A48X-01Z-00-DX1.A46C6373-8458-4D55-88C3-4C70A05F9F47.svs	696cbd16846dab5e0b451e67ab8b341b	50495298	released
1b69ab5a-d1fc-4da5-89d1-60b123097792	TCGA-86-8279-01Z-00-DX1.fd12b60e-d181-454b-a655-298a973a849d.svs	d634ebcda219d30dea24c24b5d27e372	621193831	released
50e6ada7-0461-4ad1-b4c9-8a105afc406f	TCGA-SH-A9CU-01Z-00-DX1.CFB41962-652B-424B-83F9-5430F2BCE895.svs	ae492b06b68cffb6318663c0e6dcc9cb	1453313267	released
